date,hour_of_day,location,victim_gender,victim_age,perpetrator_gender,perpetrator_age,weapon,injury,weather,temperature,previous_activity,economical_situation,education_level,crime_type,time_of_day,day_of_week,month,season,victim_age_group,perpetrator_age_group,weather_condition,economic_index,education_index
2022-07-17,20,Kharkrez,Male,100,Male,47,Gun,Fatal,Snowy,30.150496636315083,Working,High,Tertiary,Kill,Morning,Sunday,July,Spring,Senior,Adult,Wet,58.018067393962866,67.06367210223931
2020-08-22,18,Reag,Female,2,Male,35,Gun,Severe,Rainy,38.3262547686747,Working,High,Secondary,Kill,Night,Saturday,August,Summer,Senior,Senior,Dry,17.645881407061516,52.520843501774294
2023-02-24,18,Reag,Female,94,Male,60,Knife,Fatal,Snowy,-0.09355621218672105,Driving,Low,Secondary,Theft,Afternoon,Friday,February,Spring,Child,Adult,Dry,95.48611376667992,6.6352331797712605
2022-06-09,8,Shah Wali Kot,Male,89,Male,77,Knife,Fatal,Rainy,-0.017791746857206192,Working,Medium,None,Theft,Afternoon,Thursday,June,Fall,Teen,Senior,Dry,8.019207980899012,92.13484522098102
2023-06-17,14,Shah Wali Kot,Female,97,Female,20,Gun,Severe,Clear,2.6255358155801254,Shopping,Medium,Secondary,Theft,Morning,Saturday,June,Fall,Senior,Child,Wet,33.32270877418144,71.4843325206245
2023-09-03,23,Center,Female,96,Male,87,None,Minor,Snowy,24.68207054206335,Working,Medium,None,Theft,Evening,Sunday,September,Summer,Senior,Child,Wet,11.671697361134292,75.2702933752844
2020-08-21,16,Daman,Male,63,Male,36,Knife,None,Cloudy,12.415508401893184,Working,High,Tertiary,Theft,Morning,Friday,August,Fall,Senior,Teen,Wet,56.97261061776939,44.17267782007323
2022-05-16,16,Maruf,Female,13,Male,32,None,Fatal,Rainy,1.5573322927917772,Walking,Low,Tertiary,Theft,Afternoon,Monday,May,Spring,Adult,Teen,Wet,34.2800318672691,94.29356202426423
2020-12-26,12,Maruf,Female,14,Male,99,Other,Fatal,Rainy,5.35679285303862,Shopping,High,Tertiary,Theft,Evening,Saturday,December,Fall,Senior,Adult,Wet,16.161887443788547,66.32899831797235
2020-11-10,5,Daman,Male,65,Female,33,Gun,None,Cloudy,21.71577848039514,Shopping,High,Primary,Kill,Morning,Tuesday,November,Winter,Adult,Teen,Dry,93.70559167912168,60.040441223093936
2023-11-12,19,Arghistan,Male,91,Female,36,Knife,Fatal,Snowy,-3.06678974396812,Walking,High,Secondary,Theft,Night,Sunday,November,Fall,Teen,Child,Wet,75.99377467319974,60.72543844844367
2022-01-19,11,Nesh,Female,80,Male,75,Other,Fatal,Clear,34.77963281527945,Walking,Low,Primary,Kill,Morning,Wednesday,January,Spring,Child,Teen,Wet,68.38642771154576,31.86732138959093
2022-09-12,5,Panjwayi,Female,52,Female,20,Gun,Minor,Rainy,25.192494385779597,Walking,Low,None,Theft,Afternoon,Monday,September,Winter,Teen,Child,Dry,49.609107295645494,59.782545776839854
2022-11-13,20,Daman,Male,57,Male,53,Other,Minor,Clear,1.163582123693521,Walking,High,Secondary,Kill,Night,Sunday,November,Spring,Adult,Senior,Dry,86.0929769605142,64.14548016322503
2023-09-18,4,Spin Boldak,Female,65,Male,94,None,None,Snowy,-6.724706720356224,Driving,Medium,Secondary,Theft,Morning,Monday,September,Spring,Teen,Adult,Wet,24.421064496351985,29.936403854033966
2023-09-11,9,Daman,Female,97,Male,19,Gun,Severe,Snowy,1.1192840343778414,Driving,High,Tertiary,Kill,Afternoon,Monday,September,Summer,Senior,Child,Dry,95.69096936284673,13.995003870987432
2023-09-24,18,Kharkrez,Female,32,Male,85,None,Severe,Cloudy,17.875823178556658,Walking,Low,None,Kill,Morning,Sunday,September,Fall,Child,Senior,Dry,48.828570001316585,60.5927304800737
2022-11-11,12,Zhari,Male,61,Female,66,None,None,Cloudy,22.82396852910196,Driving,Low,Primary,Kill,Afternoon,Friday,November,Spring,Adult,Adult,Wet,61.025892589786245,46.75082201451105
2020-10-27,2,Center,Female,82,Female,35,None,Severe,Snowy,19.077666465299778,Shopping,Medium,Primary,Theft,Afternoon,Tuesday,October,Spring,Child,Adult,Dry,0.6734947749300613,4.741688001527889
2022-12-29,3,Spin Boldak,Male,16,Male,25,None,Minor,Rainy,1.491785171850367,Shopping,High,Tertiary,Kill,Evening,Thursday,December,Spring,Teen,Adult,Wet,85.56986300514421,53.265207601030994
2020-11-27,19,Daman,Male,53,Male,31,None,None,Cloudy,8.631145132313264,Working,High,Tertiary,Kill,Evening,Friday,November,Winter,Adult,Adult,Dry,80.17196213332824,77.81201156634266
2020-08-06,17,Arghistan,Female,4,Male,45,Gun,Minor,Snowy,-1.6754799236713218,Walking,Low,Tertiary,Kill,Evening,Thursday,August,Fall,Adult,Adult,Dry,77.78452789252978,12.40063770159261
2023-10-05,4,Kharkrez,Female,47,Male,99,Knife,Minor,Rainy,-5.704493594307582,Walking,Medium,Secondary,Kill,Afternoon,Thursday,October,Summer,Teen,Child,Wet,46.297197495447726,46.41945899439149
2021-03-22,24,Center,Male,48,Male,11,Other,Fatal,Rainy,-5.145603682256636,Walking,Medium,None,Theft,Afternoon,Monday,March,Fall,Child,Senior,Wet,24.384191997598816,77.7894608469376
2023-05-16,21,Center,Male,17,Male,18,Other,Minor,Snowy,19.674720473097477,Working,Low,None,Kill,Afternoon,Tuesday,May,Summer,Adult,Adult,Wet,35.353576118160326,34.28535135988906
2020-04-03,16,Shah Wali Kot,Female,19,Female,78,Other,Severe,Rainy,5.815710831298919,Shopping,Low,None,Kill,Afternoon,Friday,April,Summer,Child,Child,Wet,59.32524781528156,62.428281484719314
2022-09-30,17,Reag,Female,20,Male,65,None,Severe,Rainy,20.450518371707474,Walking,Low,Secondary,Kill,Afternoon,Friday,September,Winter,Teen,Adult,Dry,68.98376154203592,88.97149008694997
2022-11-17,24,Zhari,Male,66,Female,58,Knife,Minor,Rainy,18.174344146512187,Shopping,High,None,Kill,Evening,Thursday,November,Summer,Child,Teen,Wet,95.12060881540495,43.10857416125574
2021-03-08,17,Reag,Female,70,Male,46,Other,None,Cloudy,4.5665238679378355,Working,High,Secondary,Theft,Evening,Monday,March,Summer,Child,Teen,Wet,3.8777151293769463,4.281375760635986
2023-06-13,14,Nesh,Female,94,Male,24,Gun,Severe,Rainy,4.166461239624379,Shopping,Medium,Secondary,Theft,Morning,Tuesday,June,Fall,Child,Teen,Dry,42.3368550641574,90.84836032029195
2023-05-14,18,Kharkrez,Male,36,Female,14,None,Severe,Cloudy,8.658285693468773,Working,Medium,Primary,Theft,Afternoon,Sunday,May,Fall,Child,Teen,Dry,55.96424806548186,6.3067104876917135
2022-04-24,17,Spin Boldak,Female,56,Male,52,None,None,Cloudy,28.14081460785978,Shopping,Low,Primary,Theft,Afternoon,Sunday,April,Fall,Child,Adult,Dry,90.89092401757442,23.885605095197548
2020-07-20,12,Center,Female,68,Female,35,Other,None,Rainy,-8.529428839923344,Driving,Medium,Secondary,Kill,Night,Monday,July,Fall,Senior,Child,Dry,55.279863425347266,65.26969890006815
2022-05-03,6,Maywand,Male,41,Female,31,None,Minor,Snowy,11.920027965103749,Shopping,High,Tertiary,Theft,Morning,Tuesday,May,Winter,Senior,Senior,Wet,28.262040687316237,29.722082056310295
2023-01-25,8,Zhari,Male,41,Male,76,Gun,None,Rainy,11.258533415066573,Walking,Low,Tertiary,Kill,Morning,Wednesday,January,Fall,Senior,Adult,Wet,63.21231092158206,66.79934317356756
2021-04-19,19,Zhari,Male,63,Male,57,Gun,Minor,Rainy,13.067553344256194,Working,Low,None,Kill,Evening,Monday,April,Summer,Teen,Adult,Wet,59.38090203610884,48.774351128442476
2020-08-09,4,Kharkrez,Female,31,Female,62,None,Fatal,Snowy,23.40758415692315,Shopping,Medium,Tertiary,Kill,Night,Sunday,August,Spring,Adult,Child,Wet,70.33127179594509,85.04368334511051
2021-01-29,15,Center,Female,73,Male,86,Gun,Minor,Clear,24.309685110060393,Shopping,Low,Primary,Theft,Night,Friday,January,Fall,Senior,Child,Wet,67.04886317787202,97.99391000291685
2022-05-09,22,Reag,Female,40,Female,25,Knife,None,Snowy,36.48893400039893,Shopping,Low,None,Kill,Afternoon,Monday,May,Winter,Teen,Child,Wet,96.19077907055402,49.37329750277658
2022-01-15,2,Maruf,Male,39,Female,17,Knife,Severe,Snowy,18.777350274340314,Working,Medium,Tertiary,Kill,Night,Saturday,January,Fall,Child,Adult,Wet,80.16169084200763,69.3063919562359
2021-08-22,9,Spin Boldak,Male,92,Male,57,None,None,Cloudy,3.6110163511372395,Shopping,High,Primary,Kill,Morning,Sunday,August,Fall,Senior,Senior,Wet,25.341419025836643,90.59082526422665
2020-01-05,22,Arghistan,Female,9,Male,10,Other,Minor,Cloudy,12.33930853730342,Driving,Low,Secondary,Theft,Morning,Sunday,January,Spring,Teen,Senior,Dry,86.91342836114572,89.62070155544978
2022-07-09,15,Panjwayi,Male,21,Male,28,Knife,Minor,Rainy,27.5768387669236,Walking,High,Primary,Theft,Evening,Saturday,July,Spring,Teen,Child,Dry,10.818287354485745,24.967097621202804
2020-07-16,19,Nesh,Male,33,Female,14,Knife,Fatal,Clear,32.92086033515324,Working,Medium,Tertiary,Kill,Evening,Thursday,July,Fall,Teen,Adult,Wet,58.95674616750687,73.6993592968131
2021-10-01,17,Kharkrez,Female,2,Male,34,Other,Severe,Cloudy,22.612486972734892,Shopping,High,Primary,Kill,Morning,Friday,October,Fall,Adult,Adult,Dry,72.54353890709496,55.99327730173166
2023-01-29,22,Daman,Female,84,Female,54,Other,Minor,Rainy,5.340117061062635,Driving,High,Secondary,Kill,Morning,Sunday,January,Fall,Adult,Child,Dry,19.932926688295836,16.90410568110573
2022-05-18,20,Maywand,Male,28,Male,12,Knife,None,Clear,30.52211043292686,Walking,Medium,None,Theft,Afternoon,Wednesday,May,Summer,Child,Adult,Dry,39.23398691463711,9.343322137637799
2023-02-01,13,Reag,Male,94,Female,56,Gun,None,Rainy,20.959084870566816,Driving,Low,Primary,Kill,Night,Wednesday,February,Spring,Adult,Adult,Wet,31.18351875516876,82.84039976454633
2020-08-23,12,Reag,Female,48,Male,14,Knife,None,Rainy,12.830972769006486,Driving,Medium,Secondary,Theft,Evening,Sunday,August,Fall,Child,Child,Wet,12.833669288474814,31.82557149103531
2022-06-25,6,Nesh,Female,64,Male,51,Knife,Severe,Cloudy,-4.788973352328671,Shopping,Low,Secondary,Kill,Night,Saturday,June,Summer,Child,Senior,Wet,37.62999832648438,61.11551967504848
2020-02-21,11,Nesh,Female,10,Male,13,None,None,Clear,25.198200315219793,Driving,Low,Primary,Kill,Afternoon,Friday,February,Winter,Child,Teen,Dry,36.367894379680585,99.17692174232607
2021-05-09,12,Nesh,Male,84,Male,70,Knife,Severe,Clear,4.773738739912112,Shopping,High,Secondary,Kill,Morning,Sunday,May,Summer,Adult,Senior,Dry,67.59069054285676,51.446722397468825
2020-12-06,3,Shah Wali Kot,Male,90,Female,34,Gun,Minor,Rainy,37.11907096775783,Driving,Low,Primary,Theft,Evening,Sunday,December,Fall,Senior,Teen,Wet,97.01386110330404,84.1199785392482
2023-07-11,5,Daman,Female,45,Female,52,Gun,Fatal,Rainy,-0.8894527911896564,Walking,Medium,Primary,Kill,Evening,Tuesday,July,Winter,Adult,Teen,Dry,11.047989709583561,32.76928835404741
2020-03-14,7,Reag,Female,67,Female,81,Knife,Minor,Rainy,29.91291622768896,Working,Low,Secondary,Theft,Evening,Saturday,March,Summer,Senior,Child,Wet,7.563557530863063,33.5381862808556
2020-11-10,2,Spin Boldak,Male,80,Female,60,None,Fatal,Rainy,-4.508237045803761,Walking,Medium,Tertiary,Theft,Morning,Tuesday,November,Spring,Senior,Senior,Dry,61.378619107813435,81.06555107936447
2022-11-20,6,Spin Boldak,Male,34,Male,39,Knife,Severe,Snowy,8.26488787477199,Working,Medium,Primary,Theft,Morning,Sunday,November,Winter,Teen,Senior,Dry,59.81013576562445,4.125076891830604
2023-10-16,5,Arghistan,Female,95,Male,62,Knife,Fatal,Clear,-5.524350294564192,Shopping,Medium,None,Theft,Afternoon,Monday,October,Winter,Senior,Adult,Wet,88.35620284591747,76.7444163290739
2022-10-17,4,Reag,Female,9,Female,85,Other,Minor,Clear,31.429690597190678,Walking,Medium,Tertiary,Theft,Evening,Monday,October,Fall,Child,Teen,Wet,12.655938520661426,67.87897212395755
2022-09-30,21,Maywand,Male,96,Female,67,Other,Fatal,Rainy,2.9526801207421762,Working,Medium,Primary,Kill,Evening,Friday,September,Summer,Child,Teen,Dry,87.74299386893641,82.66612857750262
2023-08-31,11,Arghistan,Female,34,Female,80,Gun,Minor,Cloudy,34.037550160484365,Shopping,Low,Primary,Kill,Night,Thursday,August,Winter,Adult,Teen,Dry,78.68122806503017,63.69048783663086
2021-11-13,4,Reag,Female,3,Male,43,Gun,None,Cloudy,11.3735438548382,Driving,High,Secondary,Kill,Night,Saturday,November,Winter,Teen,Adult,Dry,51.65475632333454,11.189173111769989
2021-02-23,20,Shah Wali Kot,Female,24,Male,29,Knife,Fatal,Snowy,27.368772321391262,Working,High,Primary,Theft,Morning,Tuesday,February,Fall,Child,Adult,Wet,22.658815762309047,8.99319081079718
2023-07-03,10,Arghistan,Female,91,Female,30,Other,Fatal,Snowy,1.9911212245326357,Shopping,Medium,Tertiary,Kill,Afternoon,Monday,July,Winter,Teen,Adult,Wet,31.136757442655806,83.968896896384
2020-05-07,19,Maruf,Male,19,Female,69,Knife,Fatal,Cloudy,29.69586888508276,Walking,Low,Primary,Theft,Afternoon,Thursday,May,Fall,Teen,Child,Dry,76.48223839416293,16.746632744649016
2021-03-14,14,Nesh,Male,22,Male,61,None,Minor,Snowy,8.198745138672002,Working,Low,Primary,Theft,Night,Sunday,March,Spring,Senior,Child,Wet,37.358750714658854,30.76628201037186
2021-12-03,21,Center,Male,5,Male,46,Knife,Minor,Cloudy,12.789776048345239,Shopping,Low,Primary,Kill,Night,Friday,December,Fall,Teen,Adult,Wet,38.08692504105981,4.129662290596925
2023-05-27,1,Daman,Male,5,Male,80,Knife,Severe,Cloudy,7.7593594860896005,Working,Medium,Primary,Kill,Evening,Saturday,May,Summer,Senior,Teen,Dry,30.264852240279584,6.1800103471488566
2021-09-11,17,Nesh,Male,72,Female,92,Other,Fatal,Rainy,-2.633667539820596,Working,Low,Tertiary,Kill,Evening,Saturday,September,Winter,Adult,Adult,Wet,8.597093777118491,94.67750151761317
2020-10-28,9,Spin Boldak,Female,17,Female,43,None,Minor,Rainy,26.061674239965456,Shopping,Low,Secondary,Theft,Night,Wednesday,October,Winter,Teen,Teen,Dry,11.592931833067343,50.029191296225974
2022-10-11,4,Daman,Female,81,Male,15,Knife,Minor,Rainy,11.857792641059042,Walking,Medium,Secondary,Kill,Afternoon,Tuesday,October,Summer,Adult,Senior,Dry,50.97307371892947,23.385367452666173
2022-10-28,20,Shah Wali Kot,Female,98,Male,82,Knife,None,Clear,26.97247013104841,Driving,High,None,Theft,Evening,Friday,October,Fall,Adult,Teen,Wet,61.976418547817836,22.608322672094584
2023-06-07,18,Maruf,Female,9,Male,72,Knife,Fatal,Snowy,-5.6376317224958195,Shopping,Medium,None,Theft,Evening,Wednesday,June,Fall,Teen,Adult,Wet,47.081154092920784,34.55244886465084
2021-08-02,2,Maywand,Male,3,Female,34,None,Fatal,Cloudy,36.777281367903804,Shopping,Low,Secondary,Theft,Night,Monday,August,Summer,Teen,Teen,Wet,82.63134339870861,27.35550462414922
2020-11-20,16,Panjwayi,Male,29,Male,27,Other,Severe,Cloudy,28.75072454430567,Working,Medium,Tertiary,Kill,Morning,Friday,November,Summer,Teen,Senior,Dry,0.4635967048567169,99.07550770875406
2021-06-01,4,Nesh,Male,78,Male,45,None,Minor,Clear,29.45240150645546,Working,Low,None,Theft,Morning,Tuesday,June,Summer,Adult,Child,Wet,26.7583093346879,35.30992175740576
2021-12-04,14,Center,Male,20,Female,90,Other,None,Cloudy,22.33287486346439,Working,High,Tertiary,Kill,Afternoon,Saturday,December,Fall,Child,Child,Wet,0.06673146672097063,86.03630685260582
2020-08-15,8,Panjwayi,Male,13,Male,51,None,Fatal,Clear,-3.1078941210693403,Driving,Medium,Secondary,Theft,Afternoon,Saturday,August,Fall,Senior,Teen,Wet,45.487813024057786,30.13819931346472
2023-02-19,16,Spin Boldak,Male,81,Female,19,Gun,Fatal,Cloudy,-2.834934600896718,Working,Medium,Tertiary,Theft,Night,Sunday,February,Fall,Child,Adult,Dry,87.73832988513965,65.3281077586811
2023-07-04,5,Maruf,Female,77,Female,81,Gun,None,Snowy,2.101227253197006,Working,Medium,Primary,Kill,Morning,Tuesday,July,Summer,Senior,Senior,Dry,62.623743916253424,64.90302471788661
2020-11-28,6,Spin Boldak,Male,3,Male,99,Gun,Severe,Snowy,-8.295504773167174,Working,High,Primary,Kill,Morning,Saturday,November,Spring,Adult,Teen,Wet,14.861380248594436,93.58372013090647
2022-10-05,20,Kharkrez,Male,81,Female,77,Other,Minor,Snowy,17.71118593025699,Driving,Medium,None,Theft,Afternoon,Wednesday,October,Spring,Teen,Senior,Wet,84.77451666743625,96.01597383899006
2021-07-17,7,Reag,Female,29,Female,96,Other,Fatal,Clear,18.799057424181584,Driving,High,Secondary,Theft,Evening,Saturday,July,Spring,Child,Teen,Wet,14.1836145267909,20.266377991370998
2023-01-18,9,Zhari,Male,82,Female,37,None,Minor,Snowy,18.05959445082033,Walking,Medium,None,Theft,Afternoon,Wednesday,January,Spring,Teen,Senior,Wet,66.61208820292407,13.469588044577863
2022-05-15,12,Zhari,Male,63,Female,52,None,Severe,Clear,10.16184876831423,Shopping,High,Tertiary,Kill,Afternoon,Sunday,May,Winter,Child,Adult,Wet,7.3709151359869,49.528509536652734
2020-03-29,24,Spin Boldak,Female,69,Male,50,Knife,None,Cloudy,15.192575730868644,Walking,Medium,None,Theft,Evening,Sunday,March,Summer,Child,Adult,Wet,7.920187987182336,57.068545981226016
2022-04-13,20,Shah Wali Kot,Male,39,Female,36,None,Severe,Snowy,32.94528512828283,Driving,Low,Primary,Kill,Night,Wednesday,April,Fall,Teen,Teen,Wet,61.988110397139906,28.138359989394502
2022-02-22,1,Panjwayi,Female,90,Male,38,Other,Minor,Clear,-2.6277006163783723,Working,Medium,Secondary,Kill,Evening,Tuesday,February,Fall,Teen,Teen,Wet,90.68394133809109,42.45935061205843
2020-07-12,18,Nesh,Female,6,Female,64,Other,Fatal,Cloudy,36.16003138156573,Shopping,Low,Primary,Theft,Morning,Sunday,July,Spring,Teen,Teen,Wet,36.5794358388035,92.75769820709748
2020-08-29,20,Maywand,Female,90,Female,40,None,None,Snowy,21.738462769680126,Walking,High,None,Theft,Evening,Saturday,August,Spring,Child,Teen,Dry,56.22225546312515,84.32747138828603
2021-06-10,7,Maruf,Female,19,Male,40,None,None,Cloudy,13.711355039611064,Working,Medium,Primary,Kill,Night,Thursday,June,Summer,Adult,Child,Dry,61.606269174069126,66.69242375148393
2023-07-07,16,Maruf,Female,79,Female,67,Other,Severe,Cloudy,-2.2601740845714557,Shopping,High,Tertiary,Theft,Night,Friday,July,Winter,Senior,Child,Wet,4.311616451434997,60.84983278431035
2023-06-28,13,Maruf,Male,46,Male,68,Other,Severe,Cloudy,-7.001394284785963,Shopping,Low,Tertiary,Kill,Evening,Wednesday,June,Summer,Child,Child,Wet,29.709008048969366,41.718858470636825
2021-04-09,16,Arghistan,Female,39,Female,75,None,Fatal,Rainy,39.15927937268519,Driving,Medium,None,Kill,Morning,Friday,April,Summer,Child,Teen,Dry,24.11058846775055,37.88351158189658
2020-08-31,5,Shah Wali Kot,Male,83,Male,14,Gun,Minor,Cloudy,0.9927549764876726,Working,Medium,None,Theft,Morning,Monday,August,Winter,Teen,Senior,Wet,31.34644819163436,5.711267092871464
2021-08-17,11,Panjwayi,Male,62,Male,86,Knife,None,Snowy,35.01176178713818,Walking,High,Primary,Kill,Evening,Tuesday,August,Fall,Senior,Adult,Wet,88.83937835704913,2.3634598088229763
2021-03-13,22,Reag,Female,6,Male,91,Other,Fatal,Cloudy,15.914316900520117,Working,Low,Secondary,Kill,Morning,Saturday,March,Fall,Adult,Adult,Wet,6.992999719415927,74.89975801549853
2021-01-21,17,Maruf,Male,49,Male,95,Other,Minor,Cloudy,-4.140286785518201,Driving,Low,Tertiary,Theft,Evening,Thursday,January,Fall,Senior,Teen,Wet,89.12966780787292,3.6539695406363037
2023-08-28,6,Center,Female,53,Male,90,Knife,Severe,Rainy,-6.484397040731695,Driving,Medium,None,Theft,Morning,Monday,August,Summer,Teen,Teen,Wet,76.36055732531078,17.36847727077967
2023-08-17,7,Zhari,Male,63,Female,28,Other,Fatal,Cloudy,36.957107803214406,Driving,Low,None,Kill,Morning,Thursday,August,Summer,Senior,Adult,Wet,95.06480314145962,56.06872780791041
2021-05-27,3,Spin Boldak,Female,6,Female,40,None,Fatal,Cloudy,-6.077735889749061,Walking,Low,None,Theft,Afternoon,Thursday,May,Summer,Senior,Adult,Dry,97.34868820907604,56.39156165042828
