date,hour_of_day,location,district,area_name,victim_gender,victim_age,perpetrator_gender,perpetrator_age,weapon,injury,weather,temperature,previous_activity,economical_situation,education_level,crime_type,latitude,longitude,time_of_day,day_of_week,month,season,victim_age_group,perpetrator_age_group,weather_condition,economic_index,education_index
2021-05-11,22,Kushta Kano Zai,Spin Boldak,Kushta Kano Zai,Male,35,Female,86,None,Minor,Cloudy,32.997741606259154,Driving,High,Secondary,Theft,31.24292,66.37268,Night,Tuesday,May,Winter,Child,Teen,Dry,40.12422852352863,94.45729438712081
2023-09-01,16,Makwan,Zhar,Makwan,Male,79,Male,30,None,Severe,Cloudy,14.846253997168198,Working,Medium,Secondary,Theft,31.57846,65.46499,Morning,Friday,September,Winter,Child,Adult,Wet,29.769889282644336,41.22487668944886
2022-06-15,4,Chinar Baluch,Kharkrez,Chinar Baluch,Female,45,Female,37,Gun,Fatal,Cloudy,38.94068554716057,Walking,Low,Primary,kill,31.97198,65.48169,Night,Wednesday,June,Summer,Senior,Teen,Dry,76.63432433960155,41.01819139948388
2023-01-22,17,Dokhuno Kalay Dost Mohammad,Spin Boldak,Dokhuno Kalay Dost Mohammad,Male,42,Male,64,None,None,Clear,-6.75177306632694,Shopping,Low,Primary,Theft,31.22891,66.11686,Morning,Sunday,January,Fall,Senior,Senior,Wet,19.23602142898153,20.17750348267022
2023-03-30,8,Musa Square,Center,Musa Square,Female,3,Male,46,Gun,Minor,Clear,-5.738983031774244,Shopping,Low,None,kill,31.615,65.7,Night,Thursday,March,Spring,Senior,Adult,Wet,32.5342992315188,5.046337680810787
2021-11-23,16,Farsibanan,Panjwayi,Farsibanan,Male,46,Male,79,Other,Severe,Clear,27.856873502520465,Shopping,Medium,None,kill,31.46835,65.32353,Afternoon,Tuesday,November,Winter,Teen,Teen,Dry,45.68128540274817,6.673909271900436
2021-01-17,19,Mansor Abad,Shah Wali Kot,Mansor Abad,Female,74,Male,51,Gun,None,Rainy,33.13818672365878,Driving,Low,Tertiary,kill,31.77833,65.80112,Night,Sunday,January,Summer,Adult,Adult,Dry,98.37366579523493,16.219866302181106
2022-06-25,14,Malmona Ya Mehran,Ghorak,Malmona Ya Mehran,Female,29,Male,71,Gun,Minor,Rainy,21.657609326963282,Shopping,High,Secondary,kill,32.01042,64.98311,Night,Saturday,June,Summer,Adult,Teen,Dry,44.36006654964222,42.38668049314599
2021-04-03,2,Ziarat-e-Sakhi Baba,Center,Ziarat-e-Sakhi Baba,Female,11,Female,17,Knife,None,Clear,16.610256948474607,Walking,Low,Primary,Theft,31.6231,65.69,Morning,Saturday,April,Summer,Child,Adult,Wet,65.24832309728318,36.98532825765655
2021-10-17,9,Baghak,Kharkrez,Baghak,Male,53,Female,15,Other,Minor,Snowy,10.578451768514505,Shopping,Low,None,kill,32.0012,65.62588,Morning,Sunday,October,Winter,Child,Child,Dry,70.99253432211324,68.38557424243861
2020-12-20,18,Kandahar Provincial Council,Center,Kandahar Provincial Council,Female,4,Female,69,Other,Minor,Rainy,39.515920033252115,Shopping,Low,None,Theft,31.613,65.707,Evening,Sunday,December,Winter,Teen,Teen,Wet,46.75210003070587,1.3746386075225825
2022-02-02,23,Malmona Ya Mehran,Ghorak,Malmona Ya Mehran,Female,51,Male,5,Knife,None,Snowy,3.4303541498588803,Shopping,Medium,None,Theft,32.01042,64.98311,Morning,Wednesday,February,Winter,Child,Child,Dry,62.34150441081805,99.67199670255357
2020-09-28,13,Sur Karaiz,Daman,Sur Karaiz,Female,34,Female,33,Other,Minor,Rainy,-1.3948297821391868,Driving,High,Secondary,kill,31.72113,65.96306,Evening,Monday,September,Spring,Senior,Senior,Dry,32.39589600761771,26.59924840214223
2020-07-15,10,Ganda,Kharkrez,Ganda,Female,16,Male,31,Knife,Minor,Cloudy,13.639419436030746,Working,Low,Tertiary,Theft,31.96039,65.57424,Evening,Wednesday,July,Spring,Teen,Teen,Dry,4.521729337092372,82.13217569179783
2022-04-06,12,Baba Sahib,Arghandab,Baba Sahib,Male,84,Male,22,Knife,Severe,Cloudy,-0.5026144325213604,Walking,Low,Tertiary,Theft,31.6556,65.65716,Evening,Wednesday,April,Spring,Adult,Child,Wet,97.27138900898495,73.20517688964159
2021-05-30,8,Baba Sahib Shrine,Center,Baba Sahib Shrine,Female,66,Male,81,Gun,None,Rainy,13.173801528364084,Shopping,Low,Primary,kill,31.61,65.708,Afternoon,Sunday,May,Summer,Adult,Adult,Wet,17.080131110774232,21.413532766490263
2022-07-01,9,Hamid Karaiz,Maywand,Hamid Karaiz,Male,50,Female,18,Gun,Fatal,Clear,-0.07252902412803941,Driving,High,Primary,kill,31.51789,65.14274,Morning,Friday,July,Fall,Child,Adult,Dry,69.23752759955116,31.400421025715552
2020-12-11,20,Khaday Rahem,Spin Boldak,Khaday Rahem,Male,13,Female,57,Gun,None,Clear,13.952371893010831,Shopping,Low,Tertiary,Theft,30.9818,66.37278,Night,Friday,December,Fall,Child,Child,Wet,96.69243761510215,20.012364547803884
2022-10-03,13,Naw Ruz Kalay,Panjwayi,Naw Ruz Kalay,Female,74,Male,27,Knife,Fatal,Rainy,24.706923287470943,Shopping,Medium,Primary,kill,31.4971,65.55156,Afternoon,Monday,October,Summer,Teen,Child,Dry,13.798828806378992,67.33977656672896
2020-04-06,3,Nahr Karaiz,Zhar,Nahr Karaiz,Female,76,Female,62,Other,None,Cloudy,37.056807526662396,Working,Low,None,kill,31.49566,65.28818,Afternoon,Monday,April,Fall,Senior,Child,Dry,45.19670159518995,89.52710316328152
2021-11-13,11,Tootak Junobi,Ghorak,Tootak Junobi,Male,37,Male,72,None,None,Snowy,34.288113073701055,Shopping,Medium,Primary,kill,31.98191,64.94008,Evening,Saturday,November,Fall,Adult,Senior,Wet,13.014521659079426,72.40235605849331
2023-03-18,5,Khaki,Kharkrez,Khaki,Female,80,Male,89,Other,Minor,Rainy,34.72987612151139,Driving,High,None,Theft,32.00153,65.57336,Evening,Saturday,March,Summer,Adult,Child,Wet,1.3511649217760047,37.996678866554625
2023-02-06,8,Marsen Zai,Spin Boldak,Marsen Zai,Female,100,Male,62,None,Minor,Snowy,-0.7861307849804788,Working,Medium,None,Theft,31.10363,66.34362,Night,Monday,February,Summer,Adult,Teen,Dry,38.75548339786149,55.43156007183799
2023-02-16,18,Nokar Khail,Maywand,Nokar Khail,Male,86,Male,80,Knife,None,Snowy,33.61861605348849,Working,Low,None,Theft,31.54026,64.89075,Morning,Thursday,February,Winter,Teen,Child,Dry,8.197630229684826,82.37859462347498
2020-09-03,7,Akhtar Khailo,Maywand,Akhtar Khailo,Female,83,Male,28,Gun,Severe,Snowy,27.12666677178379,Walking,Medium,Secondary,kill,31.53633,64.90314,Evening,Thursday,September,Summer,Child,Senior,Dry,81.91057796577972,53.28869989878615
2023-08-13,5,Haji Akhtar Zay,Arghistan,Haji Akhtar Zay,Male,62,Female,10,Knife,Minor,Cloudy,-2.251320066132375,Driving,High,Primary,Theft,31.36806,66.19948,Night,Sunday,August,Fall,Senior,Teen,Wet,52.966226395054726,61.725927576106855
2023-07-13,24,Khatni Zay,Maruf,Khatni Zay,Female,18,Male,11,None,Minor,Clear,38.64343175081298,Driving,High,None,Theft,31.69846,67.22481,Evening,Thursday,July,Fall,Adult,Child,Dry,56.346313719342625,82.26928306048697
2021-05-06,12,Badwan,Panjwayi,Badwan,Male,74,Female,17,Other,Fatal,Rainy,13.869075474105362,Walking,High,Primary,Theft,31.57334,65.48446,Afternoon,Thursday,May,Spring,Senior,Senior,Wet,82.1297049714995,88.49353396556053
2022-11-20,17,Shairgha Sufla,Kharkrez,Shairgha Sufla,Female,67,Female,31,None,Fatal,Snowy,-5.003158209362742,Shopping,Medium,Tertiary,kill,31.94938,65.51316,Afternoon,Sunday,November,Spring,Teen,Adult,Dry,35.45800511860252,55.54841737284172
2022-07-13,7,Malmona Ya Mehran,Ghorak,Malmona Ya Mehran,Male,41,Female,97,None,None,Cloudy,2.485808573288809,Shopping,Medium,None,Theft,32.01042,64.98311,Morning,Wednesday,July,Spring,Teen,Teen,Dry,48.86411854333916,7.82473917691664
2022-03-15,10,Malmona Ya Mehran,Ghorak,Malmona Ya Mehran,Female,21,Female,9,Gun,Minor,Snowy,33.178026310421124,Working,High,Primary,Theft,32.01042,64.98311,Night,Tuesday,March,Fall,Teen,Senior,Dry,11.572057444841166,16.707456950821587
2020-12-17,10,Ghulaman,Kharkrez,Ghulaman,Male,40,Female,60,Gun,None,Rainy,38.5857926068307,Walking,Low,Secondary,Theft,31.95611,65.52432,Afternoon,Thursday,December,Fall,Senior,Teen,Dry,97.79661190403114,86.35072088209239
2023-06-01,11,Biyabani Kalay,Daman,Biyabani Kalay,Female,57,Male,53,None,None,Snowy,18.69505125876176,Walking,Low,Primary,Theft,31.62404,66.15417,Evening,Thursday,June,Winter,Senior,Senior,Wet,86.33372061522482,35.50563794029591
2022-01-14,16,Mullah Khel Qala Rashid,Maruf,Mullah Khel Qala Rashid,Male,73,Male,46,Gun,Fatal,Rainy,25.00930288207698,Working,Medium,Primary,kill,31.5132,67.50817,Morning,Friday,January,Summer,Senior,Senior,Dry,60.02967497749169,4.331871866115167
2023-10-18,12,Kandahar Metal Market,Center,Kandahar Metal Market,Female,80,Male,10,None,Fatal,Cloudy,1.7908545600355126,Working,High,Tertiary,Theft,31.61,65.71,Night,Wednesday,October,Winter,Child,Adult,Dry,79.45545143949481,28.282137689706943
2023-12-26,10,Now Abad,Maywand,Now Abad,Female,69,Female,23,Gun,None,Clear,13.793664286997796,Driving,Medium,None,Theft,31.692905,65.0192,Afternoon,Tuesday,December,Spring,Adult,Teen,Dry,82.60923230393291,48.58720393069655
2021-08-18,5,Abdul Qadir Isahq Ghat Kalay,Maruf,Abdul Qadir Isahq Ghat Kalay,Male,27,Female,92,None,Fatal,Cloudy,2.1423143404504117,Working,High,Tertiary,Theft,31.51428,67.46256,Morning,Wednesday,August,Winter,Teen,Child,Wet,16.197851062705336,60.202272324150705
2020-09-27,15,Bagh Kalay Amir Mohammad Landay Shadi Khan,Arghistan,Bagh Kalay Amir Mohammad Landay Shadi Khan,Female,90,Male,36,None,Severe,Clear,21.109534198392964,Driving,High,None,kill,31.40311,66.08506,Evening,Sunday,September,Fall,Child,Senior,Dry,81.7215559311534,69.68667522937425
2020-03-12,23,Gadiyan,Maywand,Gadiyan,Male,25,Male,99,None,Severe,Clear,-4.49345198839974,Driving,Low,Tertiary,Theft,31.60688,64.79954,Evening,Thursday,March,Fall,Teen,Child,Dry,43.43483184562113,59.38005451958708
2020-10-21,11,Baber,Arghandab,Baber,Male,40,Male,84,None,Fatal,Clear,30.359182569670672,Driving,Low,Tertiary,kill,31.71417,65.67006,Afternoon,Wednesday,October,Summer,Teen,Child,Wet,44.48439616063702,29.625678907896123
2023-04-16,9,Mohammad Yaqoub Kalacha,Arghandab,Mohammad Yaqoub Kalacha,Female,67,Male,64,None,None,Clear,17.009018478723647,Working,Medium,Primary,kill,31.73288,65.7216,Evening,Sunday,April,Summer,Child,Child,Wet,64.32773346707611,28.59338578024847
2023-10-17,3,Mullah Khel Qala Rashid,Maruf,Mullah Khel Qala Rashid,Male,74,Female,60,Other,None,Cloudy,29.788431169819987,Working,High,None,kill,31.5132,67.50817,Afternoon,Tuesday,October,Summer,Child,Teen,Wet,84.37950097240203,64.76013863176792
2021-02-25,11,Warghar Kalay,Maruf,Warghar Kalay,Female,62,Male,27,None,Fatal,Rainy,38.523970533664865,Shopping,Medium,Secondary,Theft,31.58601,67.39402,Morning,Thursday,February,Summer,Teen,Senior,Wet,32.424918742731656,25.966130697554778
2021-07-04,20,Taghano,Maywand,Taghano,Female,60,Male,7,Other,Fatal,Clear,36.05004402075183,Working,Medium,Secondary,Theft,31.53445,65.16541,Morning,Sunday,July,Summer,Child,Adult,Dry,24.709542286937015,30.705017197774964
2021-11-16,2,Haji Akhtar Zay,Arghistan,Haji Akhtar Zay,Male,30,Female,65,Other,Severe,Rainy,7.811285885314369,Driving,Medium,Secondary,kill,31.36806,66.19948,Evening,Tuesday,November,Fall,Adult,Child,Dry,15.937762345696582,33.66220289773582
2021-09-29,17,Malmona Ya Mehran,Ghorak,Malmona Ya Mehran,Male,88,Male,39,None,Fatal,Snowy,-8.608655747852136,Walking,Low,None,kill,32.01042,64.98311,Night,Wednesday,September,Summer,Teen,Teen,Dry,65.34237164080773,40.940639010181556
2020-02-17,21,Zil Abad,Kharkrez,Zil Abad,Male,2,Female,65,Other,Severe,Clear,20.66947370894776,Shopping,Low,Primary,Theft,31.95598,65.51355,Night,Monday,February,Summer,Teen,Child,Dry,88.71446412269137,73.60328767917072
2022-06-07,11,Shah Kalay,Arghistan,Shah Kalay,Female,60,Female,11,Knife,Fatal,Cloudy,0.29857946864564155,Shopping,High,Primary,kill,31.3718,66.28518,Night,Tuesday,June,Fall,Teen,Teen,Wet,27.512738341452135,7.6505716255349965
2021-12-06,2,Kalacha,Zhar,Kalacha,Female,12,Male,57,Knife,Fatal,Clear,17.924621232138207,Shopping,High,Secondary,Theft,31.56904,65.44603,Evening,Monday,December,Fall,Teen,Child,Dry,60.489357292935864,45.92923174433435
2021-10-11,15,Akhund Zada Kalay,Shah Wali Kot,Akhund Zada Kalay,Male,68,Male,66,Other,Fatal,Rainy,-8.99550878919538,Shopping,Medium,None,Theft,31.71812,66.18801,Evening,Monday,October,Winter,Teen,Senior,Dry,52.383141853599305,5.282681217180296
2023-08-23,11,Haji Qayoum Kalacha,Shah Wali Kot,Haji Qayoum Kalacha,Female,63,Male,45,Other,None,Rainy,22.731404647411367,Shopping,High,None,kill,31.77513,65.81851,Evening,Wednesday,August,Winter,Senior,Senior,Dry,49.45897623777979,45.57308614928206
2023-04-22,10,Tootak Shamaly,Ghorak,Tootak Shamaly,Female,42,Male,84,Knife,Severe,Cloudy,30.098918776340156,Shopping,Medium,None,Theft,31.99964,64.93322,Night,Saturday,April,Fall,Teen,Senior,Dry,61.80710452262309,54.065856335476646
2023-07-28,6,Garmab,Maywand,Garmab,Male,12,Male,32,None,Minor,Cloudy,27.42418110349626,Driving,Medium,Tertiary,kill,31.80517,64.90333,Night,Friday,July,Fall,Senior,Child,Dry,72.67153745054239,18.021084536816158
2020-07-02,19,Kido,Kharkrez,Kido,Female,17,Male,47,Knife,None,Rainy,36.123579382656274,Working,Low,None,kill,31.94155,65.53856,Afternoon,Thursday,July,Summer,Child,Child,Dry,12.18252282488751,52.98232046611866
2022-08-14,20,Anzergay Kalay,Spin Boldak,Anzergay Kalay,Male,72,Female,4,None,Minor,Rainy,25.445543277623635,Driving,Low,Secondary,kill,31.22685,66.45107,Evening,Sunday,August,Fall,Teen,Senior,Dry,5.991969003567565,71.89909991247309
2020-04-02,18,Haji Akhtar Zay,Arghistan,Haji Akhtar Zay,Female,25,Female,54,None,Fatal,Cloudy,15.822862715483563,Shopping,High,Secondary,kill,31.36806,66.19948,Afternoon,Thursday,April,Winter,Child,Adult,Dry,1.7188287731435548,3.6748626204310297
2022-09-02,20,Bagh Kalay Amir Mohammad Landay Shadi Khan,Arghistan,Bagh Kalay Amir Mohammad Landay Shadi Khan,Female,5,Male,54,Other,Fatal,Cloudy,-4.808239886599149,Driving,Medium,None,kill,31.40311,66.08506,Morning,Friday,September,Winter,Adult,Adult,Wet,88.86624731428603,55.50314994402481
2022-06-29,21,Ahzam Kalay,Shah Wali Kot,Ahzam Kalay,Female,18,Male,91,None,Fatal,Rainy,16.795365446632434,Shopping,High,Primary,Theft,31.64422,65.94175,Night,Wednesday,June,Summer,Child,Adult,Dry,40.49714287989974,79.49712684258266
2021-02-02,19,Maiwand Karaiz,Maywand,Maiwand Karaiz,Male,66,Female,47,Other,Fatal,Snowy,-3.310001088897887,Driving,Medium,Secondary,kill,31.73147,65.12984,Morning,Tuesday,February,Fall,Senior,Teen,Wet,80.38517926158156,38.092995991968046
2022-04-12,10,Chargh Ya Charagah,Kharkrez,Chargh Ya Charagah,Male,47,Female,56,Knife,None,Cloudy,-5.1769028117144975,Driving,Medium,None,kill,32.08058,65.48347,Night,Tuesday,April,Fall,Adult,Senior,Dry,87.67638207432233,13.987715177262993
2021-08-07,5,Yatemak Hulya,Arghandab,Yatemak Hulya,Female,57,Female,62,Knife,Fatal,Snowy,39.68636889110307,Driving,High,Tertiary,kill,31.76832,65.74838,Night,Saturday,August,Summer,Senior,Teen,Wet,16.54805833562336,26.945974730992774
2021-08-27,15,Shor Ab,Ghorak,Shor Ab,Female,75,Female,21,Knife,Severe,Rainy,10.391730037406525,Driving,Low,Tertiary,Theft,32.00242,64.91901,Evening,Friday,August,Spring,Adult,Senior,Dry,49.266055926070116,94.78849697595462
2022-09-21,21,Malmona Ya Mehran,Ghorak,Malmona Ya Mehran,Female,28,Male,12,None,Fatal,Snowy,-8.103161959628899,Driving,Medium,Primary,kill,32.01042,64.98311,Night,Wednesday,September,Winter,Child,Senior,Dry,88.39753012317043,92.0894944907007
2022-06-19,6,Sayyid Wali Kalay,Maruf,Sayyid Wali Kalay,Male,85,Male,80,None,Minor,Clear,13.305191291344812,Driving,High,Tertiary,Theft,31.70387,67.3064,Evening,Sunday,June,Winter,Child,Adult,Wet,61.16873739656402,7.766642954076863
2020-06-26,2,Iqbal Khan Kalay,Spin Boldak,Iqbal Khan Kalay,Female,54,Female,70,Knife,None,Rainy,36.83178680882438,Walking,High,Tertiary,Theft,31.06462,66.4286,Night,Friday,June,Summer,Adult,Adult,Wet,79.33457713342307,77.0647341385521
2021-08-23,11,Shaikh Chala Sufla,Arghandab,Shaikh Chala Sufla,Male,12,Male,74,Gun,Minor,Clear,21.72587280375381,Walking,High,Tertiary,kill,31.69213,65.66889,Evening,Monday,August,Winter,Teen,Teen,Dry,46.93628149392656,72.56731122136867
2022-05-31,10,Hijran Kalay,Daman,Hijran Kalay,Male,88,Male,39,None,Severe,Clear,25.385667193767695,Working,Medium,Primary,kill,31.70905,65.88173,Afternoon,Tuesday,May,Spring,Adult,Adult,Dry,65.25252821967243,59.804964377914125
2021-09-11,15,Lala Zai,Maywand,Lala Zai,Female,78,Female,64,Gun,Fatal,Cloudy,6.061282069253995,Shopping,Low,Secondary,Theft,31.65383,64.85926,Night,Saturday,September,Summer,Adult,Teen,Wet,8.43423621268552,19.73772652502249
2023-10-07,24,Khowja Malik Sufla,Arghandab,Khowja Malik Sufla,Male,98,Male,27,Gun,Fatal,Snowy,2.8626446517467805,Shopping,Low,None,Theft,31.75891,65.74816,Afternoon,Saturday,October,Spring,Adult,Child,Dry,24.658661150654602,75.10642360530608
2023-06-18,12,Mahajirin,Panjwayi,Mahajirin,Female,1,Male,91,Knife,Fatal,Cloudy,20.786090234764334,Walking,High,None,Theft,31.53236,65.52299,Afternoon,Sunday,June,Summer,Child,Child,Dry,46.303158372369246,61.60498481579884
2022-12-16,8,China,Maywand,China,Male,38,Male,77,Gun,None,Snowy,38.477173060373936,Working,High,Secondary,Theft,31.79904,65.08356,Night,Friday,December,Winter,Teen,Adult,Wet,46.345777453982784,16.457658034723632
2021-01-25,13,Kalfak,Maywand,Kalfak,Female,38,Male,2,Knife,Severe,Snowy,28.062854577331905,Walking,High,Primary,kill,31.7806,64.87943,Morning,Monday,January,Fall,Teen,Senior,Wet,36.917589176615174,28.239446468816954
2020-12-14,5,Haq Dad Kalay,Spin Boldak,Haq Dad Kalay,Female,37,Female,13,None,Severe,Clear,39.00124530556272,Working,Medium,Tertiary,kill,31.21845,65.97121,Evening,Monday,December,Spring,Senior,Child,Dry,34.376755580662774,52.08293687176281
2021-07-28,8,Kunjak Wa Azim,Panjwayi,Kunjak Wa Azim,Female,46,Male,92,Knife,None,Snowy,20.75095230333528,Walking,High,None,Theft,31.45666,65.26203,Afternoon,Wednesday,July,Fall,Child,Adult,Wet,90.43047543241813,70.87532827459827
2021-06-04,2,Safid Khak,Kharkrez,Safid Khak,Female,16,Female,81,None,Minor,Cloudy,0.5527556905463893,Walking,Medium,Secondary,kill,31.92918,65.42501,Afternoon,Friday,June,Spring,Senior,Adult,Dry,62.04808038596953,64.13757542999574
2022-03-03,1,Haji Mohammad Hewaz Yasen Zai,Zhar,Haji Mohammad Hewaz Yasen Zai,Female,62,Male,11,None,Minor,Rainy,-8.461503445854154,Driving,Low,Secondary,Theft,31.53885,65.41609,Morning,Thursday,March,Fall,Teen,Child,Wet,38.776484293273725,12.446543765134532
2021-02-23,16,Warghar Kalay,Maruf,Warghar Kalay,Male,14,Female,89,Knife,Fatal,Rainy,27.159942255868224,Driving,Medium,Tertiary,kill,31.58601,67.39402,Night,Tuesday,February,Winter,Teen,Child,Wet,79.77648210245243,29.871638114168398
2021-03-08,8,Rab Kalay Akhund,Maruf,Rab Kalay Akhund,Female,77,Female,86,Gun,Minor,Clear,14.213294858291786,Driving,High,Primary,Theft,31.50819,67.47925,Night,Monday,March,Winter,Teen,Child,Wet,61.015410149828554,60.82615346836309
2021-06-09,5,Malmand,Ghorak,Malmand,Female,41,Female,69,Knife,None,Snowy,30.536282519369536,Shopping,High,None,Theft,31.98997,64.98376,Morning,Wednesday,June,Fall,Senior,Teen,Wet,30.105143563325953,22.17680007242191
2020-11-18,20,Shair Ahmad,Arghandab,Shair Ahmad,Female,90,Male,62,None,Minor,Cloudy,32.7212269950316,Shopping,High,Secondary,kill,31.63167,65.58224,Evening,Wednesday,November,Winter,Adult,Child,Dry,89.24713986980473,58.15242873971675
2022-11-27,21,Baram Khail,Kharkrez,Baram Khail,Female,3,Male,17,Other,Severe,Cloudy,5.577821584775558,Shopping,Low,Tertiary,kill,32.01112,65.66342,Evening,Sunday,November,Spring,Adult,Teen,Dry,5.015780982612316,19.01113226878123
2022-10-13,21,Chinar Baluch,Kharkrez,Chinar Baluch,Female,37,Female,86,None,Severe,Cloudy,-3.138180144257454,Walking,Low,Primary,Theft,31.97198,65.48169,Evening,Thursday,October,Spring,Senior,Child,Dry,97.22184165607337,49.91328574546524
2021-06-07,9,Faizullah Kalay,Kharkrez,Faizullah Kalay,Male,59,Female,8,Knife,Fatal,Cloudy,17.680932917447304,Working,Medium,Tertiary,Theft,31.95067,65.66104,Morning,Monday,June,Fall,Teen,Child,Wet,41.040915769992544,9.613239709830834
2022-12-26,12,Khatni Zay,Maruf,Khatni Zay,Male,69,Male,94,Knife,Severe,Rainy,-8.680934993612135,Driving,Low,Secondary,kill,31.69846,67.22481,Evening,Monday,December,Summer,Senior,Senior,Dry,84.54584143119608,38.54483209223282
2022-12-11,23,Payianda Kalay,Arghistan,Payianda Kalay,Female,10,Male,34,Knife,Minor,Snowy,-8.285181930676869,Walking,Medium,Primary,kill,31.78426,66.74429,Evening,Sunday,December,Fall,Adult,Adult,Dry,26.370078242135765,7.9435123018319675
2023-03-03,10,Patkay Sufla,Arghistan,Patkay Sufla,Male,31,Male,100,Gun,Severe,Snowy,35.22652838694916,Driving,Low,Secondary,kill,31.36703,66.08718,Afternoon,Friday,March,Fall,Adult,Teen,Dry,62.62899172511679,5.777487540728932
2020-04-14,2,Khatni Zay,Maruf,Khatni Zay,Female,59,Female,62,None,Fatal,Rainy,-9.774925937202225,Driving,Low,Primary,Theft,31.69846,67.22481,Night,Tuesday,April,Spring,Child,Senior,Dry,97.03377988638009,80.49940811845727
2020-01-26,13,Anzirgay,Shah Wali Kot,Anzirgay,Female,7,Male,10,Gun,Severe,Rainy,11.152773631393114,Driving,Medium,Tertiary,Theft,31.77652,65.97012,Morning,Sunday,January,Spring,Teen,Senior,Dry,0.32729644797825364,77.41453911474161
2020-04-09,9,Khatni Zay,Maruf,Khatni Zay,Female,29,Male,23,Knife,None,Cloudy,34.84090648493863,Driving,Low,Secondary,kill,31.69846,67.22481,Evening,Thursday,April,Winter,Senior,Teen,Dry,20.267083065285142,6.69554619806002
2023-07-15,15,Khaki,Kharkrez,Khaki,Male,16,Female,42,Knife,None,Clear,1.6987199817983392,Working,Low,Primary,Theft,32.00153,65.57336,Night,Saturday,July,Fall,Senior,Adult,Wet,86.10939479724054,26.925495875627313
2021-01-24,21,Nasrat Afghan Kalay,Spin Boldak,Nasrat Afghan Kalay,Male,26,Female,8,None,Minor,Snowy,25.892513556542823,Driving,Medium,None,kill,30.99603,66.43984,Afternoon,Sunday,January,Winter,Senior,Senior,Wet,67.03247941437381,4.764505153275456
2022-02-03,14,Landi Karaiz,Spin Boldak,Landi Karaiz,Female,25,Male,73,Knife,None,Cloudy,-3.062174127837616,Walking,Low,Primary,kill,31.18383,66.43686,Morning,Thursday,February,Spring,Senior,Child,Wet,53.03379170145398,13.233484387731265
2020-04-15,21,Daka,Maywand,Daka,Male,44,Female,58,Other,Fatal,Rainy,25.155054466979657,Walking,Low,Secondary,Theft,31.81855,65.07006,Night,Wednesday,April,Summer,Senior,Teen,Dry,33.47878592306629,30.02776919584913
